id,name,city,tennis_courts,padel_courts,beach_courts,latitude,longitude
62130211,A.I.L ROUSSET,ROUSSET,8,0,0,43.47646,5.62553
62130213,A.S. AVIATION CIVILE AIX,AIX-EN-PROVENCE,3,0,0,43.52819,5.43156
62130102,A.S. CARNOUX TENNIS,CARNOUX-EN-PROVENCE,4,0,0,43.2583,5.565487
62130417,A.S. REALTOR,MARSEILLE,2,0,0,43.291252,5.434388
62130134,A.S. ROGNAC TENNIS,ROGNAC,6,1,0,43.477528,5.242273
62130025,A.S.C.E.E 13 EQUIPEMENT,SEPTEMES-LES-VALLONS,2,0,0,43.3901,5.349956
62130336,AILES SPORTIVES AIRBUS HELICOPTERS,MARIGNANE,6,0,0,43.410652,5.242855
62130600,AIX AUC TENNIS-PADEL,AIX EN PROVENCE,8,3,0,43.510895,5.465583
62130504,ALLAUDIEN TENNIS CLUB,ALLAUCH,6,0,0,43.341743,5.477817
62130584,AS AIGUIER TENNIS,MARSEILLE,4,0,0,43.250645,5.410542
62130100,AS DES SALARIES DE L'ENERGIE,ALLAUCH,4,0,0,43.336147,5.482574
62130558,AS TENNIS CLUB ALLAUCH FONTVIEILLE,ALLAUCH,4,0,0,43.323086,5.4907
62130564,AS TENNIS LA CIOTAT/CEYRESTE,CEYRESTE,6,3,0,43.2215,5.634811
62130147,ASCE 13 CEREMA,AIX EN PROVENCE Cedex 3,4,0,0,43.48923,5.377833
62130609,ASSOCIATION TCP PADEL,CASSIS,4,3,0,43.21143,5.516852
62130520,BERRE TENNIS CLUB,BERRE L'ETANG,6,0,0,43.485607,5.161836
62130210,C.S. BOUILLADISSE,LA BOUILLADISSE,4,0,0,43.393627,5.597005
62130195,C.S.A.M. AUDEOUD,MARSEILLE,4,0,0,43.274513,5.401662
62130005,CERCLE SPORTIF MARSEILLE TENNIS,MARSEILLE,14,0,0,43.266,5.39103
62L00130,COMITE BOUCHES DU RHONE TENNIS,CABRIES,5,0,0,43.426937,5.367676
